usuario_id,compra_id,fecha,region,mes
1,554,2023-01-07,1,01
1,14,2023-01-09,1,01
1,284,2023-01-12,1,01
1,419,2023-01-16,1,01
1,149,2023-01-31,1,01
2,108,2023-01-12,1,01
2,243,2023-01-12,1,01
2,513,2023-01-13,1,01
2,378,2023-01-16,1,01
3,21,2023-01-12,1,01
3,561,2023-01-14,1,01
3,426,2023-01-19,1,01
3,156,2023-01-22,1,01
3,291,2023-01-22,1,01
4,354,2023-01-13,1,01
4,84,2023-01-15,1,01
4,219,2023-01-21,1,01
4,489,2023-01-27,1,01
4,624,2023-01-28,1,01
5,563,2023-01-08,1,01
5,428,2023-01-16,1,01
5,293,2023-01-19,1,01
5,23,2023-01-20,1,01
5,158,2023-01-21,1,01
6,198,2023-01-03,1,01
6,468,2023-01-08,1,01
6,333,2023-01-18,1,01
6,63,2023-01-27,1,01
6,603,2023-01-30,1,01
7,417,2023-01-12,1,01
7,147,2023-01-13,1,01
7,552,2023-01-22,1,01
7,282,2023-01-27,1,01
7,12,2023-01-29,1,01
8,515,2023-01-03,1,01
8,245,2023-01-07,1,01
8,380,2023-01-12,1,01
8,110,2023-01-20,1,01
9,532,2023-01-07,1,01
9,127,2023-01-19,1,01
9,262,2023-01-19,1,01
9,397,2023-01-26,1,01
11,472,2023-01-04,1,01
11,202,2023-01-08,1,01
11,67,2023-01-13,1,01
11,337,2023-01-18,1,01
11,607,2023-01-31,1,01
12,352,2023-01-01,1,01
12,487,2023-01-02,1,01
12,622,2023-01-10,1,01
12,82,2023-01-27,1,01
12,217,2023-01-27,1,01
13,178,2023-01-10,1,01
13,448,2023-01-14,1,01
13,313,2023-01-17,1,01
13,43,2023-01-28,1,01
13,583,2023-01-31,1,01
15,595,2023-01-03,1,01
15,190,2023-01-08,1,01
15,325,2023-01-12,1,01
15,460,2023-01-25,1,01
15,55,2023-01-31,1,01
16,132,2023-01-02,1,01
16,267,2023-01-26,1,01
16,537,2023-01-26,1,01
16,402,2023-01-28,1,01
17,232,2023-01-02,1,01
17,502,2023-01-07,1,01
17,97,2023-01-14,1,01
17,367,2023-01-26,1,01
18,174,2023-01-01,1,01
18,444,2023-01-01,1,01
18,309,2023-01-09,1,01
18,39,2023-01-23,1,01
18,579,2023-01-26,1,01
19,495,2023-01-07,1,01
19,630,2023-01-13,1,01
19,360,2023-01-21,1,01
19,225,2023-01-26,1,01
19,90,2023-01-28,1,01
20,261,2023-01-13,1,01
20,531,2023-01-14,1,01
20,126,2023-01-15,1,01
20,396,2023-01-21,1,01
21,104,2023-01-12,1,01
21,509,2023-01-12,1,01
21,239,2023-01-17,1,01
21,374,2023-01-27,1,01
22,142,2023-01-05,1,01
22,547,2023-01-06,1,01
22,7,2023-01-13,1,01
22,412,2023-01-14,1,01
22,277,2023-01-15,1,01
23,223,2023-01-01,1,01
23,88,2023-01-05,1,01
23,358,2023-01-07,1,01
23,493,2023-01-24,1,01
23,628,2023-01-26,1,01
24,27,2023-01-03,1,01
24,567,2023-01-04,1,01
24,432,2023-01-09,1,01
24,162,2023-01-12,1,01
24,297,2023-01-30,1,01
25,585,2023-01-01,1,01
25,315,2023-01-05,1,01
25,45,2023-01-14,1,01
25,180,2023-01-25,1,01
25,450,2023-01-31,1,01
26,61,2023-01-02,1,01
26,196,2023-01-02,1,01
26,466,2023-01-09,1,01
26,331,2023-01-19,1,01
26,601,2023-01-27,1,01
28,34,2023-01-05,1,01
28,439,2023-01-06,1,01
28,304,2023-01-07,1,01
28,169,2023-01-20,1,01
28,574,2023-01-30,1,01
29,66,2023-01-14,1,01
29,606,2023-01-16,1,01
29,201,2023-01-24,1,01
29,336,2023-01-28,1,01
29,471,2023-01-30,1,01
30,536,2023-01-09,1,01
30,131,2023-01-12,1,01
30,266,2023-01-12,1,01
30,401,2023-01-14,1,01
32,518,2023-01-11,1,01
32,383,2023-01-14,1,01
32,113,2023-01-15,1,01
32,248,2023-01-16,1,01
33,491,2023-01-08,1,01
33,356,2023-01-17,1,01
33,221,2023-01-18,1,01
33,86,2023-01-20,1,01
33,626,2023-01-20,1,01
