compra_id,mes,region,ano
1,enero,1,9999
2,enero,1,9999
3,enero,1,9999
4,enero,1,9999
5,enero,1,9999
6,enero,1,9999
7,enero,1,9999
8,enero,1,9999
9,enero,1,9999
10,enero,1,9999
11,enero,1,9999
12,enero,1,9999
13,enero,1,9999
14,enero,1,9999
15,enero,1,9999
16,enero,1,9999
17,enero,1,9999
18,enero,1,9999
19,enero,1,9999
20,enero,1,9999
21,enero,1,9999
22,enero,1,9999
23,enero,1,9999
24,enero,1,9999
25,enero,1,9999
26,enero,1,9999
27,enero,1,9999
28,enero,1,9999
29,enero,1,9999
30,enero,1,9999
31,enero,1,9999
32,enero,1,9999
33,enero,1,9999
34,enero,1,9999
35,enero,1,9999
36,enero,1,9999
37,enero,1,9999
38,enero,1,9999
39,enero,1,9999
40,enero,1,9999
41,enero,1,9999
42,enero,1,9999
43,enero,1,9999
44,enero,1,9999
45,enero,1,9999
46,enero,1,9999
47,enero,1,9999
48,enero,1,9999
49,enero,1,9999
50,enero,1,9999
51,enero,1,9999
52,enero,1,9999
53,enero,1,9999
54,enero,1,9999
55,enero,1,9999
56,enero,1,9999
57,enero,1,9999
58,enero,1,9999
59,enero,1,9999
60,enero,1,9999
61,enero,1,9999
62,enero,1,9999
63,enero,1,9999
64,enero,1,9999
65,enero,1,9999
66,enero,1,9999
67,enero,1,9999
68,enero,1,9999
69,enero,1,9999
70,enero,1,9999
71,enero,1,9999
72,enero,1,9999
73,enero,1,9999
74,enero,1,9999
75,enero,1,9999
76,enero,1,9999
77,enero,1,9999
78,enero,1,9999
79,enero,1,9999
80,enero,1,9999
81,enero,1,9999
82,enero,1,9999
83,enero,1,9999
84,enero,1,9999
85,enero,1,9999
86,enero,1,9999
87,enero,1,9999
88,enero,1,9999
89,enero,1,9999
90,enero,1,9999
91,enero,1,9999
92,enero,1,9999
93,enero,1,9999
94,enero,1,9999
95,enero,1,9999
96,enero,1,9999
97,enero,1,9999
98,enero,1,9999
99,enero,1,9999
100,enero,1,9999
101,enero,1,9999
102,enero,1,9999
103,enero,1,9999
104,enero,1,9999
105,enero,1,9999
106,enero,1,9999
107,enero,1,9999
108,enero,1,9999
109,enero,1,9999
110,enero,1,9999
111,enero,1,9999
112,enero,1,9999
113,enero,1,9999
114,enero,1,9999
115,enero,1,9999
116,enero,1,9999
117,enero,1,9999
118,enero,1,9999
119,enero,1,9999
120,enero,1,9999
121,enero,1,9999
122,enero,1,9999
123,enero,1,9999
124,enero,1,9999
125,enero,1,9999
126,enero,1,9999
127,enero,1,9999
128,enero,1,9999
129,enero,1,9999
130,enero,1,9999
131,enero,1,9999
132,enero,1,9999
133,enero,1,9999
134,enero,1,9999
135,enero,1,9999
136,enero,1,9999
137,enero,1,9999
138,enero,1,9999
139,enero,1,9999
140,enero,1,9999
141,enero,1,9999
142,enero,1,9999
143,enero,1,9999
144,enero,1,9999
145,enero,1,9999
146,enero,1,9999
147,enero,1,9999
148,enero,1,9999
149,enero,1,9999
150,enero,1,9999
151,enero,1,9999
152,enero,1,9999
153,enero,1,9999
154,enero,1,9999
155,enero,1,9999
156,enero,1,9999
157,enero,1,9999
158,enero,1,9999
159,enero,1,9999
160,enero,1,9999
161,enero,1,9999
162,enero,1,9999
163,enero,1,9999
164,enero,1,9999
165,enero,1,9999
166,enero,1,9999
167,enero,1,9999
168,enero,1,9999
169,enero,1,9999
170,enero,1,9999
171,enero,1,9999
172,enero,1,9999
173,enero,1,9999
174,enero,1,9999
175,enero,1,9999
176,enero,1,9999
177,enero,1,9999
178,enero,1,9999
179,enero,1,9999
180,enero,1,9999
181,enero,1,9999
182,enero,1,9999
183,enero,1,9999
184,enero,1,9999
185,enero,1,9999
186,enero,1,9999
187,enero,1,9999
188,enero,1,9999
189,enero,1,9999
190,enero,1,9999
191,enero,1,9999
192,enero,1,9999
193,enero,1,9999
194,enero,1,9999
195,enero,1,9999
196,enero,1,9999
197,enero,1,9999
198,enero,1,9999
199,enero,1,9999
200,enero,1,9999
201,enero,1,9999
202,enero,1,9999
203,enero,1,9999
204,enero,1,9999
205,enero,1,9999
206,enero,1,9999
207,enero,1,9999
208,enero,1,9999
209,enero,1,9999
210,enero,1,9999
211,enero,1,9999
212,enero,1,9999
213,enero,1,9999
214,enero,1,9999
215,enero,1,9999
216,enero,1,9999
217,enero,1,9999
218,enero,1,9999
219,enero,1,9999
220,enero,1,9999
221,enero,1,9999
222,enero,1,9999
223,enero,1,9999
224,enero,1,9999
225,enero,1,9999
226,enero,1,9999
227,enero,1,9999
228,enero,1,9999
229,enero,1,9999
230,enero,1,9999
231,enero,1,9999
232,enero,1,9999
233,enero,1,9999
234,enero,1,9999
235,enero,1,9999
236,enero,1,9999
237,enero,1,9999
238,enero,1,9999
239,enero,1,9999
240,enero,1,9999
241,enero,1,9999
242,enero,1,9999
243,enero,1,9999
244,enero,1,9999
245,enero,1,9999
246,enero,1,9999
247,enero,1,9999
248,enero,1,9999
249,enero,1,9999
250,enero,1,9999
251,enero,1,9999
252,enero,1,9999
253,enero,1,9999
254,enero,1,9999
255,enero,1,9999
256,enero,1,9999
257,enero,1,9999
258,enero,1,9999
259,enero,1,9999
260,enero,1,9999
261,enero,1,9999
262,enero,1,9999
263,enero,1,9999
264,enero,1,9999
265,enero,1,9999
266,enero,1,9999
267,enero,1,9999
268,enero,1,9999
269,enero,1,9999
270,enero,1,9999
271,enero,1,9999
272,enero,1,9999
273,enero,1,9999
274,enero,1,9999
275,enero,1,9999
276,enero,1,9999
277,enero,1,9999
278,enero,1,9999
279,enero,1,9999
280,enero,1,9999
281,enero,1,9999
282,enero,1,9999
283,enero,1,9999
284,enero,1,9999
285,enero,1,9999
286,enero,1,9999
287,enero,1,9999
288,enero,1,9999
289,enero,1,9999
290,enero,1,9999
291,enero,1,9999
292,enero,1,9999
293,enero,1,9999
294,enero,1,9999
295,enero,1,9999
296,enero,1,9999
297,enero,1,9999
298,enero,1,9999
299,enero,1,9999
300,enero,1,9999
301,enero,1,9999
302,enero,1,9999
303,enero,1,9999
304,enero,1,9999
305,enero,1,9999
306,enero,1,9999
307,enero,1,9999
308,enero,1,9999
309,enero,1,9999
310,enero,1,9999
311,enero,1,9999
312,enero,1,9999
313,enero,1,9999
314,enero,1,9999
315,enero,1,9999
316,enero,1,9999
317,enero,1,9999
318,enero,1,9999
319,enero,1,9999
320,enero,1,9999
321,enero,1,9999
322,enero,1,9999
323,enero,1,9999
324,enero,1,9999
325,enero,1,9999
326,enero,1,9999
327,enero,1,9999
328,enero,1,9999
329,enero,1,9999
330,enero,1,9999
331,enero,1,9999
332,enero,1,9999
333,enero,1,9999
334,enero,1,9999
335,enero,1,9999
336,enero,1,9999
337,enero,1,9999
338,enero,1,9999
339,enero,1,9999
340,enero,1,9999
341,enero,1,9999
342,enero,1,9999
343,enero,1,9999
344,enero,1,9999
345,enero,1,9999
346,enero,1,9999
347,enero,1,9999
348,enero,1,9999
349,enero,1,9999
350,enero,1,9999
351,enero,1,9999
352,enero,1,9999
353,enero,1,9999
354,enero,1,9999
355,enero,1,9999
356,enero,1,9999
357,enero,1,9999
358,enero,1,9999
359,enero,1,9999
360,enero,1,9999
361,enero,1,9999
362,enero,1,9999
363,enero,1,9999
364,enero,1,9999
365,enero,1,9999
366,enero,1,9999
367,enero,1,9999
368,enero,1,9999
369,enero,1,9999
370,enero,1,9999
371,enero,1,9999
372,enero,1,9999
373,enero,1,9999
374,enero,1,9999
375,enero,1,9999
376,enero,1,9999
377,enero,1,9999
378,enero,1,9999
379,enero,1,9999
380,enero,1,9999
381,enero,1,9999
382,enero,1,9999
383,enero,1,9999
384,enero,1,9999
385,enero,1,9999
386,enero,1,9999
387,enero,1,9999
388,enero,1,9999
389,enero,1,9999
390,enero,1,9999
391,enero,1,9999
392,enero,1,9999
393,enero,1,9999
394,enero,1,9999
395,enero,1,9999
